Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C],PSAL [psu],CPHL [ug/l],DOXY [ml/l],NTOT [umol/l],PHPH [],TPHS [umol/l]
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,0.2,3.36,7.646,,8.5,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,1,3.35,7.649,2.07,8.99,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,5,3.33,7.653,1.31,8.5,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,10,3.32,7.666,1.18,8.5,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,15,3.3,7.658,1.07,8.5,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,20,3.211,7.931,0.62,8,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,25,3.33,8.222,,8.3,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,30,3.699,9.215,,8.1,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,35,4.059,10.59,,7.8,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,40,3.59,14.273,,7.6,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,45,3.5,14.564,,8,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,46.0,3.5,14.636,,8,,,
????,0305,B,2019-02-18T10:22,55.0000,13.3000,0049,46.6,3.5,14.636,,8,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,0.4,3.65,7.624,,9.3,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,1,3.63,7.618,2.5,8.85,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,5,3.6,7.647,2.4,9.3,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,10,3.55,7.782,3.3,9.3,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,15,3.57,7.982,2.7,9.3,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,20,3.689,8.077,2.1,9.4,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,25,3.47,8.382,,9.3,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,30,3.48,8.815,,9.0,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,35,3.5,9.525,,8.9,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,40,3.709,13.385,,8,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,45,3.909,15.351,,8.0,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,45.8,3.909,15.327,,8.1,,,
????,0306,B,2019-03-01T11:04,55.0000,13.3000,0048,46.2,3.919,15.323,,8.1,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,0.4,3.799,7.68,,8.9,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,1,3.769,7.653,1.8,8.56,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,5,3.709,7.678,2.8,8.9,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,7.3,3.699,7.68,2.8,8.9,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,10,3.689,7.682,2.1,8.8,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,15,3.689,7.681,2,8.8,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,20,3.709,7.822,1.4,8.7,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,25,3.719,7.853,,8.7,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,30,3.739,8.108,,8.6,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,35,4.298,13.196,,7.6,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,40,4.877,16.222,,6.7,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,45,4.957,16.24,,6.1,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,46.0,4.947,16.245,,6.1,,,
????,0307,B,2019-03-11T10:32,55.0000,13.3000,0049,46.8,4.937,16.285,,6.1,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,0.2,4.677,7.787,,9,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,1,4.647,7.783,4.2,8.98,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,5,4.278,7.813,4.9,9.2,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,10,4.218,7.816,5.5,9.3,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,15,4.158,7.829,5.6,9.2,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,20,4.158,7.851,5.2,9.2,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,25,4.079,7.925,,9,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,30,4.049,8.404,,8.7,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,35,4.108,9.078,,8,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,40,4.099,13.416,,7.6,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,45,4.218,14.131,,7.2,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,46.2,4.338,14.81,,7.1,,,
????,0308,B,2019-03-22T11:09,55.0000,13.3000,0048,47.0,4.448,15.422,,7.1,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,0.8,4.407,7.766,,9.0,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,1,4.407,7.757,4.9,8.85,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,5,4.367,7.765,5.5,9.0,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,10,,,5.6,,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,15,4.347,7.769,4.7,8.8,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,20,,,5.2,,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,25,4.347,7.767,,8.6,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,30,4.318,7.773,,8.5,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,35,4.219,7.805,,8.3,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,40,4.634,9.318,,7.4,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,45,6.533,12.019,,6.0,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,50,6.019,13.016,,6,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,56,6.128,13.757,,5.2,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,61,7.443,14.695,,4.3,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,66,8.067,15.527,,3.4,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,71,8.482,16.122,,2.9,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,75.9,8.581,16.429,,2.0,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,81,8.719,16.391,,2.0,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,86,8.729,17.029,,1.3,,,
????,0190,B,2019-03-28T09:14,55.2500,15.9833,0090,90,8.571,17.156,,1.20,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,0.4,5.495,7.988,,8.3,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,1,5.495,7.988,0.93,8.62,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,5,5.485,8.,1.2,8.3,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,10,5.455,8.007,1,8.3,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,15,5.435,8.022,1,8.2,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,20,5.276,8.037,0.86,8.1,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,25,5.176,8.06,,8.1,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,30,4.557,8.365,,7.9,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,35,4.408,9.108,,7.4,,,
????,0309,B,2019-04-08T07:23,55.0000,13.3000,0047,40,4.438,10.048,,7.1,,,
